Model,Cross-validated Accuracy,Cross-validated kappa,Holdout Accuracy,Holdout kappa,Sensitivity,Specificity,Computation time (seconds)
glm,.9,.59,.86,.41,.44,.94,1.47 seconds
glmnet,.9,.52,.86,.37,.37,.95,3.17 seconds
ranger,.97,.86,.86,.36,.34,.96,23.62 seconds
xgbTree,.94,.74,.87,.43,.41,.96,57.4 seconds
